,line,name,lat,lng,2022_average_formonth,휠체어리프트여부,엘리베이터여부,운영수량,설치위치
210,7,고속터미널,37.50481,127.004943,14870,Y,Y,1,지하2층 지역홍보 센터 앞
211,7,내방,37.487618,126.993513,12616,N,Y,1,게이트 정면 20M지점
212,7,이수,37.486263,126.981989,16342,Y,Y,0,
213,7,사가정,37.580894,127.088478,26457,N,Y,1,지하 1층 게이트 나가기전 좌측5m 지점
214,7,용마산,37.573647,127.086727,12180,N,Y,1,지하1층 화장실 앞쪽
215,7,중곡,37.565923,127.08432,22179,N,Y,1,지하1층 1번 출구 인근
216,7,어린이대공원,37.548014,127.074658,13943,N,Y,1,지하1층 1번 출구 인근
217,7,남성,37.484596,126.971251,14887,N,Y,0,
218,7,숭실대입구,37.496029,126.953822,12833,N,Y,0,
219,7,상도,37.502834,126.94791,12942,N,Y,0,
220,7,장승배기,37.504898,126.93915,14752,N,Y,0,
221,7,신대방삼거리,37.499701,126.928276,22876,N,Y,0,
222,7,보라매,37.499872,126.920428,12296,N,Y,0,
223,7,신풍,37.50008,126.90993,17269,N,Y,0,
224,7,대림,37.49297,126.895801,10010,Y,Y,1,B1층 화장실 옆
225,7,남구로,37.486056,126.887249,19731,Y,N,0,
226,7,가산디지털단지,37.481072,126.882343,36257,Y,Y,0,
227,7,철산,37.47605,126.867911,25628,N,Y,0,
228,7,광명사거리,37.479252,126.854876,38108,Y,Y,1,B2 대합실 E/L 근처
229,7,천왕,37.486637,126.838713,15914,N,Y,1,지하1층 게이트 옆
230,7,온수,37.492258,126.823388,12771,Y,Y,1,지하1층 대합실 화장실에서 고객상담실 방면 10M
231,7,장암,37.700109,127.053196,2340,N,Y,0,
232,7,중화,37.602545,127.079264,19887,N,Y,1,지하1층 E/L 3호기 옆 우측 벽면
233,7,상봉,37.596362,127.085032,21142,N,Y,0,
234,7,면목,37.588579,127.087503,27241,N,Y,1,지하 1층 게이트 안쪽 E/L 1호기 옆 벽면
235,7,건대입구,37.540693,127.07023,15442,Y,Y,0,
236,7,뚝섬유원지,37.53154,127.066704,10195,N,Y,0,
237,7,청담,37.519365,127.05335,13951,Y,Y,0,
238,7,도봉산,37.689313,127.046222,15205,N,Y,1,2번출구방향 고객상담실 출입문 우측 벽면
239,7,수락산,37.67785,127.055315,22816,Y,Y,1,지하2층 화장실 옆
240,7,마들,37.66494,127.057675,20134,Y,Y,1,지하1층 편의점 옆
241,7,노원,37.655128,127.061368,34693,N,Y,1,지하1층 4번출구 하단계단 바로 옆
242,7,중계,37.644583,127.064303,32435,N,Y,1,지하2층 아이센터 맞은편 게이트 앞
243,7,하계,37.636352,127.06799,30708,N,Y,1,지하1층 2호기 엘리베이터 맞은편
244,7,공릉,37.625742,127.072896,20233,N,Y,0,
245,7,태릉입구,37.617983,127.07512,12544,N,Y,0,
246,7,먹골,37.610637,127.077725,18346,N,Y,1,지하2층 아이센터 앞 수막밸브함 옆
247,8,암사,37.55021,127.127562,26232,N,Y,0,
248,8,천호,37.538397,127.123572,21291,Y,Y,1,지하1층 아이센터 옆
249,8,강동구청,37.530341,127.120508,14727,N,Y,1,고객안내센터 맞은편 벽면(게이트 옆)
250,8,몽촌토성,37.517409,127.112359,6917,N,Y,1,지하 2층 고객상담실 입구 좌측
251,8,잠실,37.51395,127.102234,18506,Y,Y,1,고객안내센터 좌측 30m 지점
252,8,신흥,37.440918,127.147564,11741,N,Y,1,지하1층 대합실 유리 출입문과 화장실 입구 중간 지점
253,8,수진,37.437428,127.140722,13082,N,Y,1,지하1층 대합실 화장실과 편의점 사이에 위치
254,8,모란,37.43213,127.129087,12802,Y,Y,1,11번 출구에서 지하1층으로 내려온 후 좌측 20M(편의점 맞은편)
255,8,석촌,37.505431,127.106979,11739,N,Y,1,지하 1층 종점환기실 앞
256,8,송파,37.499703,127.112183,9762,N,Y,0,
257,8,가락시장,37.492522,127.118234,12088,N,Y,0,
258,8,문정,37.485855,127.1225,16179,N,Y,0,
259,8,장지,37.478703,127.126191,22089,N,Y,1,지하1층 E/L 4호기 앞
260,8,복정,37.470047,127.126662,11765,Y,Y,1,안내센터 옆 또는 지하 1층 화장실 입구 옆
261,8,산성,37.457122,127.149908,7120,N,Y,1,3번 출입구에서 지하1층으로 내려온후 고객상담실 죄측 5m
262,8,남한산성입구,37.451535,127.159816,22821,N,Y,1,B2층 중앙계단 올라가긴 전 좌측 휠체어리프트 방면 3m지점
263,8,단대오거리,37.44521,127.156866,22285,N,Y,1,지하1층 외부 E/V 왼쪽 7M 지점
