,railOprIsttCd,lnCd,stinCd,mvPathMgNo,mvPathDvCd,mvPathDvNm,mvTpOrdr,mvDst,mvContDtl
4,AR,A1,A05,1,1,출입구-승강장,5,,5) 지하 4층 승강장으로 이동
5,AR,A1,A05,2,1,출입구-승강장,1,,1) 1번 출입구 근처 엘리베이터 이용
6,AR,A1,A05,2,1,출입구-승강장,2,,2) 지하 1층으로 이동
7,AR,A1,A05,2,1,출입구-승강장,3,,3) 개집표기 통과
8,AR,A1,A05,2,1,출입구-승강장,4,,4) 마곡나루 방면 엘리베이터 이용
9,AR,A1,A05,2,1,출입구-승강장,5,,5) 지하 3층 승강장으로 이동
10,AR,A1,A05,1,3,환승경로,1,,1) 계양방면 승강장
11,AR,A1,A05,1,3,환승경로,2,,2) 6번칸 근처 엘리베이터 이용
12,AR,A1,A05,1,3,환승경로,3,,3) 지하4층 승강장 이동
13,AR,A1,A05,2,3,환승경로,1,,1) 인천국제공항방면 승강장
14,AR,A1,A05,2,3,환승경로,2,,2) 2번칸 근처 엘리베이터 이용
15,AR,A1,A05,2,3,환승경로,3,,3) 지하4층 승강장 이동
16,AR,A1,A05,3,3,환승경로,1,,1) 계양방면 승강장
17,AR,A1,A05,3,3,환승경로,2,,2) 5호선 환승통로 이용 개집표기 통과
18,AR,A1,A05,3,3,환승경로,3,,3) 송정방면 엘리베이터 이용
19,AR,A1,A05,3,3,환승경로,4,,4) 지하3층 승강장 이동
20,AR,A1,A05,4,3,환승경로,1,,1) 계양방면 승강장
21,AR,A1,A05,4,3,환승경로,2,,2) 5호선 환승통로 이용 개집표기 통과
22,AR,A1,A05,4,3,환승경로,3,,3) 개화산 방면 승강장 이동
23,AR,A1,A05,5,3,환승경로,1,,1) 인천국제공항방면 승강장
24,AR,A1,A05,5,3,환승경로,2,,2) 2번칸 근처 엘리베이터 이용
25,AR,A1,A05,5,3,환승경로,3,,3) 지하3층 이동
26,AR,A1,A05,5,3,환승경로,4,,4) 5호선 환승통로 이용 개집표기 통과
27,AR,A1,A05,5,3,환승경로,5,,5) 송정방면 엘리베이터 이용
28,AR,A1,A05,5,3,환승경로,6,,6) 지하3층 승강장 이동
29,AR,A1,A05,6,3,환승경로,1,,1) 인천국제공항방면 승강장
30,AR,A1,A05,6,3,환승경로,2,,2) 2번칸 근처 엘리베이터 이용
31,AR,A1,A05,6,3,환승경로,3,,3) 지하3층 이동
32,AR,A1,A05,6,3,환승경로,4,,4) 5호선 환승통로 이용 개집표기 통과
33,AR,A1,A05,6,3,환승경로,5,,5) 개화산 방면 승강장 이동
,railOprIsttCd,lnCd,stinCd,mvPathMgNo,mvPathDvCd,mvPathDvNm,mvTpOrdr,mvDst,mvContDtl
0,AR,A1,A06,1,1,출입구-승강장,1,,1) 1번 출입구로 이동
1,AR,A1,A06,1,1,출입구-승강장,2,,2) 지상 1층 화장실 근처 개집표기 통과
2,AR,A1,A06,1,1,출입구-승강장,3,,3) 엘리베이터 이용
3,AR,A1,A06,1,1,출입구-승강장,4,,4) 지상 2층 승강장으로 이동
4,AR,A1,A06,2,1,출입구-승강장,1,,1) 1번 출입구로 이동
5,AR,A1,A06,2,1,출입구-승강장,2,,2) 지상 1층 화장실 근처 개집표기 통과
6,AR,A1,A06,2,1,출입구-승강장,3,,3) 엘리베이터 이용
7,AR,A1,A06,2,1,출입구-승강장,4,,4) 지상 2층 승강장으로 이동
8,AR,A1,A06,1,3,환승경로,1,,1) 검암 방면 승강장
9,AR,A1,A06,1,3,환승경로,2,,2) 승강장 엘리베이터 이용
10,AR,A1,A06,1,3,환승경로,3,,3) 지상 1층으로 이동
11,AR,A1,A06,1,3,환승경로,4,,4) 공항철도 개집표기 통과
12,AR,A1,A06,1,3,환승경로,5,,5) 인천지하철 개집표기 통과
13,AR,A1,A06,1,3,환승경로,6,,6) 귤현 방면 엘리베이터 이용
14,AR,A1,A06,1,3,환승경로,7,,7) 지상 2층으로 이동
15,AR,A1,A06,1,3,환승경로,8,,8) 귤현 방면 승강장
16,AR,A1,A06,2,3,환승경로,1,,1) 김포공항 방면 승강장
17,AR,A1,A06,2,3,환승경로,2,,2) 승강장 엘리베이터 이용
18,AR,A1,A06,2,3,환승경로,3,,3) 지상 1층으로 이동
19,AR,A1,A06,2,3,환승경로,4,,4) 공항철도 개집표기 통과
20,AR,A1,A06,2,3,환승경로,5,,5) 인천지하철 개집표기 통과
21,AR,A1,A06,2,3,환승경로,6,,6) 귤현 방면 엘리베이터 이용
22,AR,A1,A06,2,3,환승경로,7,,7) 지상 2층으로 이동
23,AR,A1,A06,2,3,환승경로,8,,8) 귤현 방면 승강장
,railOprIsttCd,lnCd,stinCd,mvPathMgNo,mvPathDvCd,mvPathDvNm,mvTpOrdr,mvDst,mvContDtl
0,AR,A1,A07,1,1,출입구-승강장,1,,1) 1번 출입구로 이동
1,AR,A1,A07,1,1,출입구-승강장,2,,2) 대합실을 지나 청라국제도시 방면 엘리베이터로 이동
2,AR,A1,A07,1,1,출입구-승강장,3,,3) 엘리베이터를 이용하여 지상2층 승강장으로 이동
3,AR,A1,A07,2,1,출입구-승강장,1,,1) 1번 출입구로 이동
4,AR,A1,A07,2,1,출입구-승강장,2,,2) 대합실을 지나 계양방면 엘리베이터로 이동
5,AR,A1,A07,2,1,출입구-승강장,3,,3) 엘리베이터를 이용하여 지상2층 승강장으로 이동
6,AR,A1,A07,1,3,환승경로,1,,1) 계양 방면 승강장 이용
7,AR,A1,A07,1,3,환승경로,2,,2) 엘리베이터 하차
8,AR,A1,A07,1,3,환승경로,3,,3) 계양 방면 엘리베이터 승차
9,AR,A1,A07,1,3,환승경로,4,,4) 개집표기 통과
10,AR,A1,A07,1,3,환승경로,5,,5) 개집표기 통과
11,AR,A1,A07,1,3,환승경로,6,,6) 엘리베이터 하차 후 공항철도선으로 이동
12,AR,A1,A07,1,3,환승경로,7,,7) 검바위 방면 승강장
13,AR,A1,A07,2,3,환승경로,1,,1) 청라국제도시 방면 승강장 이용
14,AR,A1,A07,2,3,환승경로,2,,2) 엘리베이터 하차
15,AR,A1,A07,2,3,환승경로,3,,3) 청라국제도시 방면 엘리베이터 승차
16,AR,A1,A07,2,3,환승경로,4,,4) 개집표기 통과
17,AR,A1,A07,2,3,환승경로,5,,5) 개집표기 통과
18,AR,A1,A07,2,3,환승경로,6,,6) 엘리베이터 하차 후 공항철도선으로 이동
19,AR,A1,A07,2,3,환승경로,7,,7) 검바위 방면 승강장
20,AR,A1,A07,3,3,환승경로,1,,1) 계양 방면 승강장
21,AR,A1,A07,3,3,환승경로,2,,2) 엘리베이터 하차
22,AR,A1,A07,3,3,환승경로,3,,3) 계양 방면 엘리베이터 승차
23,AR,A1,A07,3,3,환승경로,4,,4) 개집표기 통과
24,AR,A1,A07,3,3,환승경로,5,,5) 개집표기 통과
25,AR,A1,A07,3,3,환승경로,6,,6) 엘리베이터 하차 후 인천2호선으로 이동
26,AR,A1,A07,3,3,환승경로,7,,7) 맞은편 엘리베이터 승차
27,AR,A1,A07,3,3,환승경로,8,,8) 엘리베이터 하차
28,AR,A1,A07,3,3,환승경로,9,,9) 독정 방면 승강장
29,AR,A1,A07,4,3,환승경로,1,,1) 청라국제도시 방면 승강장
30,AR,A1,A07,4,3,환승경로,2,,2) 엘리베이터 하차
31,AR,A1,A07,4,3,환승경로,3,,3) 청라국제도시 방면 엘리베이터 승차
32,AR,A1,A07,4,3,환승경로,4,,4) 개집표기 통과
33,AR,A1,A07,4,3,환승경로,5,,5) 개집표기 통과
34,AR,A1,A07,4,3,환승경로,6,,6) 엘리베이터 하차 후 인천2호선으로 이동
35,AR,A1,A07,4,3,환승경로,7,,7) 맞은편 엘리베이터 승차
36,AR,A1,A07,4,3,환승경로,8,,8) 엘리베이터 하차
37,AR,A1,A07,4,3,환승경로,9,,9) 독정 방면 승강장
,railOprIsttCd,lnCd,stinCd,mvPathMgNo,mvPathDvCd,mvPathDvNm,mvTpOrdr,mvDst,mvContDtl
0,AR,A1,A071,1,1,출입구-승강장,1,,1) 1번 출입구로 이동
1,AR,A1,A071,1,1,출입구-승강장,2,,2) 대합실 엘리베이터를 이용하여 지상2층으로 이동
2,AR,A1,A071,1,1,출입구-승강장,3,,3) 통로를 지나 엘리베이터를 이용하여 지상1층승강장으로 이동
3,AR,A1,A071,1,1,출입구-승강장,4,,4) 영종방면 승강장으로 이동
4,AR,A1,A071,2,1,출입구-승강장,1,,1) 1번 출입구로 이동
5,AR,A1,A071,2,1,출입구-승강장,2,,2) 대합실 엘리베이터를 이용하여 지상2층으로 이동
6,AR,A1,A071,2,1,출입구-승강장,3,,3) 통로를 지나 엘리베이터를 이용하여 지상1층승강장으로 이동
7,AR,A1,A071,2,1,출입구-승강장,4,,4) 검암방면 승강장으로 이동
,railOprIsttCd,lnCd,stinCd,mvPathMgNo,mvPathDvCd,mvPathDvNm,mvTpOrdr,mvDst,mvContDtl
0,AR,A1,A072,1,1,출입구-승강장,1,,1) 1번 출입구로 진입
1,AR,A1,A072,1,1,출입구-승강장,2,,2) 1번 출입구 근처 엘리베이터 이용
2,AR,A1,A072,1,1,출입구-승강장,3,,3) 지상 3층으로 이동
3,AR,A1,A072,1,1,출입구-승강장,4,,4) 개집표기를 통과
4,AR,A1,A072,1,1,출입구-승강장,5,,5) 청라국제도시 방면 엘리베이터 이용
5,AR,A1,A072,1,1,출입구-승강장,6,,6) 지상 1층으로 이동
6,AR,A1,A072,1,1,출입구-승강장,7,,7) 승강장으로 이동
7,AR,A1,A072,2,1,출입구-승강장,1,,1) 1번 출입구로 진입
8,AR,A1,A072,2,1,출입구-승강장,2,,2) 1번 출입구 근처 엘리베이터 이용
9,AR,A1,A072,2,1,출입구-승강장,3,,3) 지상 3층으로 이동
10,AR,A1,A072,2,1,출입구-승강장,4,,4) 개집표기를 통과
11,AR,A1,A072,2,1,출입구-승강장,5,,5) 청라국제도시 방면 엘리베이터 이용
12,AR,A1,A072,2,1,출입구-승강장,6,,6) 지상 1층으로 이동
13,AR,A1,A072,2,1,출입구-승강장,7,,7) 승강장으로 이동
,railOprIsttCd,lnCd,stinCd,mvPathMgNo,mvPathDvCd,mvPathDvNm,mvTpOrdr,mvDst,mvContDtl
0,AR,A1,A08,1,1,출입구-승강장,1,,1) 1번 출입구로 진입
1,AR,A1,A08,1,1,출입구-승강장,2,,2) 개집표기를 통과
2,AR,A1,A08,1,1,출입구-승강장,3,,3) 영종 방면 엘리베이터 이용
3,AR,A1,A08,1,1,출입구-승강장,4,,4) 지상 2층으로 이동
4,AR,A1,A08,1,1,출입구-승강장,5,,5) 승강장으로 이동
5,AR,A1,A08,2,1,출입구-승강장,1,,1) 1번 출입구로 진입
6,AR,A1,A08,2,1,출입구-승강장,2,,2) 개집표기를 통과
7,AR,A1,A08,2,1,출입구-승강장,3,,3) 공항화물청사 방면 엘리베이터 이용
8,AR,A1,A08,2,1,출입구-승강장,4,,4) 지상 2층으로 이동
9,AR,A1,A08,2,1,출입구-승강장,5,,5) 승강장으로 이동
,railOprIsttCd,lnCd,stinCd,mvPathMgNo,mvPathDvCd,mvPathDvNm,mvTpOrdr,mvDst,mvContDtl
0,AR,A1,A09,1,1,출입구-승강장,1,,1) 2번 출입구 근처 엘리베이터 이용
1,AR,A1,A09,1,1,출입구-승강장,2,,2) 지하 1층으로 이동
2,AR,A1,A09,1,1,출입구-승강장,3,,3) 개집표기를 통과
3,AR,A1,A09,1,1,출입구-승강장,4,,4) 영종 방면 엘리베이터 이용
4,AR,A1,A09,1,1,출입구-승강장,5,,5) 지상 2층으로 이동
5,AR,A1,A09,1,1,출입구-승강장,6,,6) 승강장으로 이동
6,AR,A1,A09,2,1,출입구-승강장,1,,1) 2번 출입구 근처 엘리베이터 이용
7,AR,A1,A09,2,1,출입구-승강장,2,,2) 지하 1층으로 이동
8,AR,A1,A09,2,1,출입구-승강장,3,,3) 개집표기를 통과
9,AR,A1,A09,2,1,출입구-승강장,4,,4) 공항화물청사 방면 엘리베이터 이용
10,AR,A1,A09,2,1,출입구-승강장,5,,5) 지상 2층으로 이동
11,AR,A1,A09,2,1,출입구-승강장,6,,6) 승강장으로 이동
,railOprIsttCd,lnCd,stinCd,mvPathMgNo,mvPathDvCd,mvPathDvNm,mvTpOrdr,mvDst,mvContDtl
0,AR,A1,A10,1,1,출입구-승강장,1,,1) 1번 출입구 근처 엘리베이터 이용 지하1층으로 이동
1,AR,A1,A10,1,1,출입구-승강장,2,,2) 개집표기 통과 후 공항화물청사 방면 엘리베이터 이용
2,AR,A1,A10,1,1,출입구-승강장,3,,3) 지하 4층으로 이동
3,AR,A1,A10,1,1,출입구-승강장,4,,4) 공항화물청사 방면 승강장 이용
4,AR,A1,A10,2,1,출입구-승강장,1,,1) 2번 출입구 근처 엘리베이터 이용 지하1층으로 이동
5,AR,A1,A10,2,1,출입구-승강장,2,,2) 개집표기 통과 후 공항화물청사 방면 엘리베이터 이용
6,AR,A1,A10,2,1,출입구-승강장,3,,3) 지하 4층으로 이동
7,AR,A1,A10,2,1,출입구-승강장,4,,4) 공항화물청사 방면 승강장 이용
,railOprIsttCd,lnCd,stinCd,mvPathMgNo,mvPathDvCd,mvPathDvNm,mvTpOrdr,mvDst,mvContDtl
0,AR,A1,A11,1,1,출입구-승강장,1,,1) 지하 1층 대합실로 이동
1,AR,A1,A11,1,1,출입구-승강장,2,,2) 대합실 중앙 인천공항1터미널 방면 개찰구 통과
2,AR,A1,A11,1,1,출입구-승강장,3,,3) 승강장 방향 엘리베이터 탑승
3,AR,A1,A11,1,1,출입구-승강장,4,,4) 지하 3층 인천공항1터미널 승강장으로 이동
4,AR,A1,A11,1,1,출입구-승강장,5,,5) 승차
""
""
""
""
""
""
,railOprIsttCd,lnCd,stinCd,mvPathMgNo,mvPathDvCd,mvPathDvNm,mvTpOrdr,mvDst,mvContDtl
0,DX,D1,D07,1,1,출입구-승강장,1,,1) 3번 출입구 근처 엘리베이터 탑승
1,DX,D1,D07,1,1,출입구-승강장,2,,2) 지하 3층 대합실로 이동
2,DX,D1,D07,1,1,출입구-승강장,3,,3) 대합실 중앙 개찰구 통과
3,DX,D1,D07,1,1,출입구-승강장,4,,4) 양재 방면 승강장 방향 엘리베이터 탑승
4,DX,D1,D07,1,1,출입구-승강장,5,,5) 지하 4층 양재 방면 승강장으로 이동
5,DX,D1,D07,1,1,출입구-승강장,6,,6) 승차
6,DX,D1,D07,2,1,출입구-승강장,1,,1) 6번 출입구 근처 엘리베이터 탑승
7,DX,D1,D07,2,1,출입구-승강장,2,,2) 지하 3층 대합실로 이동
8,DX,D1,D07,2,1,출입구-승강장,3,,3) 대합실 중앙 개찰구 통과
9,DX,D1,D07,2,1,출입구-승강장,4,,4) 양재 방면 승강장 방향 엘리베이터 탑승
10,DX,D1,D07,2,1,출입구-승강장,5,,5) 지하 4층 양재 방면 승강장으로 이동
11,DX,D1,D07,2,1,출입구-승강장,6,,6) 승차
12,DX,D1,D07,1,3,환승경로,1,,1) 신분당선 강남(종착역) 승강장 하차
13,DX,D1,D07,1,3,환승경로,2,,2) 승강장 중앙 지하 3층 대합실 방향 엘리베이터 탑승
14,DX,D1,D07,1,3,환승경로,3,,3) 지하 3층 대합실로 이동
15,DX,D1,D07,1,3,환승경로,4,,4) 2호선 환승통로 방향 개찰구 통과
16,DX,D1,D07,1,3,환승경로,5,,5) 환승통로 통과 후 2호선 역삼 방면 승강장 방향 엘리베이터 탑승
17,DX,D1,D07,1,3,환승경로,6,,6) 지하 2층 역삼 방면 승강장으로 이동
18,DX,D1,D07,1,3,환승경로,7,,7) 승차
19,DX,D1,D07,2,3,환승경로,1,,1) 신분당선 강남(종착역) 승강장 하차
20,DX,D1,D07,2,3,환승경로,2,,2) 승강장 중앙 지하 3층 대합실 방향 엘리베이터 탑승
21,DX,D1,D07,2,3,환승경로,3,,3) 지하 3층 대합실로 이동
22,DX,D1,D07,2,3,환승경로,4,,4) 2호선 환승통로 방향 개찰구 통과
23,DX,D1,D07,2,3,환승경로,5,,5) 환승통로 통과 후 2호선 교대 방면 승강장 방향 엘리베이터 탑승
24,DX,D1,D07,2,3,환승경로,6,,6) 지하 2층 교대 방면 승강장으로 이동
25,DX,D1,D07,2,3,환승경로,7,,7) 승차
,railOprIsttCd,lnCd,stinCd,mvPathMgNo,mvPathDvCd,mvPathDvNm,mvTpOrdr,mvDst,mvContDtl
0,DX,D1,D08,1,1,출입구-승강장,1,,1) 4번 출입구 근처 엘리베이터 이용
1,DX,D1,D08,1,1,출입구-승강장,2,,2) 지하 1층으로 이동
2,DX,D1,D08,1,1,출입구-승강장,3,,3) 9번출입구 방면 엘리베이터 이용
3,DX,D1,D08,1,1,출입구-승강장,4,,4) 지하 3층으로 이동 후 개집표기 통과
4,DX,D1,D08,1,1,출입구-승강장,5,,5) 엘리베이터 이용
5,DX,D1,D08,1,1,출입구-승강장,6,,6) 지하 4층 승강장으로 이동
6,DX,D1,D08,2,1,출입구-승강장,1,,1) 7번 출입구 근처 엘리베이터 이용
7,DX,D1,D08,2,1,출입구-승강장,2,,2) 지하 3층으로 이동
8,DX,D1,D08,2,1,출입구-승강장,3,,3) 개집표기 통과
9,DX,D1,D08,2,1,출입구-승강장,4,,4) 엘리베이터 이용
10,DX,D1,D08,2,1,출입구-승강장,5,,5) 지하 4층 승강장으로 이동
11,DX,D1,D08,3,1,출입구-승강장,1,,1) 10번 출입구 근처 엘리베이터 이용
12,DX,D1,D08,3,1,출입구-승강장,2,,2) 지하 3층으로 이동
13,DX,D1,D08,3,1,출입구-승강장,3,,3) 개집표기 통과
14,DX,D1,D08,3,1,출입구-승강장,4,,4) 엘리베이터 이용
15,DX,D1,D08,3,1,출입구-승강장,5,,5) 지하 4층 승강장으로 이동
16,DX,D1,D08,4,1,출입구-승강장,1,,1) 12번 출입구 근처 엘리베이터 이용
17,DX,D1,D08,4,1,출입구-승강장,2,,2) 지하 1층으로 이동
18,DX,D1,D08,4,1,출입구-승강장,3,,3) 10번 출입구 근처 엘리베이터 이용
19,DX,D1,D08,4,1,출입구-승강장,4,,4) 지하 3층으로 이동 후 개집표기 통과
20,DX,D1,D08,4,1,출입구-승강장,5,,5) 엘리베이터 이용
21,DX,D1,D08,4,1,출입구-승강장,6,,6) 지하 4층 승강장으로 이동
22,DX,D1,D08,5,1,출입구-승강장,1,,1) 4번 출입구 근처 엘리베이터 이용
23,DX,D1,D08,5,1,출입구-승강장,2,,2) 지하 1층으로 이동
24,DX,D1,D08,5,1,출입구-승강장,3,,3) 9번출입구 방면 엘리베이터 이용
25,DX,D1,D08,5,1,출입구-승강장,4,,4) 지하 3층으로 이동 후 개집표기 통과
26,DX,D1,D08,5,1,출입구-승강장,5,,5) 엘리베이터 이용
27,DX,D1,D08,5,1,출입구-승강장,6,,6) 지하 4층 승강장으로 이동
28,DX,D1,D08,6,1,출입구-승강장,1,,1) 7번 출입구 근처 엘리베이터 이용
29,DX,D1,D08,6,1,출입구-승강장,2,,2) 지하 3층으로 이동
30,DX,D1,D08,6,1,출입구-승강장,3,,3) 개집표기 통과
31,DX,D1,D08,6,1,출입구-승강장,4,,4) 엘리베이터 이용
32,DX,D1,D08,6,1,출입구-승강장,5,,5) 지하 4층 승강장으로 이동
33,DX,D1,D08,7,1,출입구-승강장,1,,1) 10번 출입구 근처 엘리베이터 이용
34,DX,D1,D08,7,1,출입구-승강장,2,,2) 지하 3층으로 이동
35,DX,D1,D08,7,1,출입구-승강장,3,,3) 개집표기 통과
36,DX,D1,D08,7,1,출입구-승강장,4,,4) 엘리베이터 이용
37,DX,D1,D08,7,1,출입구-승강장,5,,5) 지하 4층 승강장으로 이동
38,DX,D1,D08,8,1,출입구-승강장,1,,1) 12번 출입구 근처 엘리베이터 이용
39,DX,D1,D08,8,1,출입구-승강장,2,,2) 지하 1층으로 이동
40,DX,D1,D08,8,1,출입구-승강장,3,,3) 10번 출입구 근처 엘리베이터 이용
41,DX,D1,D08,8,1,출입구-승강장,4,,4) 지하 3층으로 이동 후 개집표기 통과
42,DX,D1,D08,8,1,출입구-승강장,5,,5) 엘리베이터 이용
43,DX,D1,D08,8,1,출입구-승강장,6,,6) 지하 4층 승강장으로 이동
44,DX,D1,D08,1,3,환승경로,1,,1) 매봉 방면 엘리베이터로 이동
45,DX,D1,D08,1,3,환승경로,2,,2) 지하 3층으로 이동
46,DX,D1,D08,1,3,환승경로,3,,3) 매봉 방면 엘리베이터로 이동
47,DX,D1,D08,1,3,환승경로,4,,4) 지하 2층으로 이동
48,DX,D1,D08,1,3,환승경로,5,,5) 승강장 이동
49,DX,D1,D08,2,3,환승경로,1,,1) 남부터미널 방면 엘리베이터로 이동
50,DX,D1,D08,2,3,환승경로,2,,2) 지하 3층으로 이동
51,DX,D1,D08,2,3,환승경로,3,,3) 남부터미널 방면 엘리베이터로 이동
52,DX,D1,D08,2,3,환승경로,4,,4) 지하 2층으로 이동
53,DX,D1,D08,2,3,환승경로,5,,5) 승강장 이동
54,DX,D1,D08,3,3,환승경로,1,,1) 매봉 방면 엘리베이터로 이동
55,DX,D1,D08,3,3,환승경로,2,,2) 지하 3층으로 이동
56,DX,D1,D08,3,3,환승경로,3,,3) 매봉 방면 엘리베이터로 이동
57,DX,D1,D08,3,3,환승경로,4,,4) 지하 2층으로 이동
58,DX,D1,D08,3,3,환승경로,5,,5) 승강장 이동
59,DX,D1,D08,4,3,환승경로,1,,1) 남부터미널 방면 엘리베이터로 이동
60,DX,D1,D08,4,3,환승경로,2,,2) 지하 3층으로 이동
61,DX,D1,D08,4,3,환승경로,3,,3) 남부터미널 방면 엘리베이터로 이동
62,DX,D1,D08,4,3,환승경로,4,,4) 지하 2층으로 이동
63,DX,D1,D08,4,3,환승경로,5,,5) 승강장 이동
,railOprIsttCd,lnCd,stinCd,mvPathMgNo,mvPathDvCd,mvPathDvNm,mvTpOrdr,mvDst,mvContDtl
0,DX,D1,D09,1,1,출입구-승강장,1,,1) 1번 출입구 근처 엘리베이터 이동
1,DX,D1,D09,1,1,출입구-승강장,2,,2) 지하1층 청계산입구 방면 엘리베이터로 이동
2,DX,D1,D09,1,1,출입구-승강장,3,,3) 엘리베이터를 이용하여 지하3층으로 이동
3,DX,D1,D09,1,1,출입구-승강장,4,,4) 승강장 이동
4,DX,D1,D09,2,1,출입구-승강장,1,,1) 1번 출입구 근처 엘리베이터 이동
5,DX,D1,D09,2,1,출입구-승강장,2,,2) 지하1층 양재 방면 엘리베이터로 이동
6,DX,D1,D09,2,1,출입구-승강장,3,,3) 엘리베이터를 이용하여 지하3층으로 이동
7,DX,D1,D09,2,1,출입구-승강장,4,,4) 승강장 이동
8,DX,D1,D09,3,1,출입구-승강장,1,,1) 3번 출입구 근처 엘리베이터 이동
9,DX,D1,D09,3,1,출입구-승강장,2,,2) 지하1층 청계산입구 방면 엘리베이터로 이동
10,DX,D1,D09,3,1,출입구-승강장,3,,3) 엘리베이터를 이용하여 지하3층으로 이동
11,DX,D1,D09,3,1,출입구-승강장,4,,4) 승강장 이동
12,DX,D1,D09,4,1,출입구-승강장,1,,1) 3번 출입구 근처 엘리베이터 이동
13,DX,D1,D09,4,1,출입구-승강장,2,,2) 지하1층 양재 방면 엘리베이터로 이동
14,DX,D1,D09,4,1,출입구-승강장,3,,3) 엘리베이터를 이용하여 지하3층으로 이동
15,DX,D1,D09,4,1,출입구-승강장,4,,4) 승강장 이동
,railOprIsttCd,lnCd,stinCd,mvPathMgNo,mvPathDvCd,mvPathDvNm,mvTpOrdr,mvDst,mvContDtl
0,DX,D1,D10,1,1,출입구-승강장,1,,1) 1번 출입구 근처 엘리베이터 이동
1,DX,D1,D10,1,1,출입구-승강장,2,,2) 지하1층 양재시민의숲 방면 엘리베이터로 이동
2,DX,D1,D10,1,1,출입구-승강장,3,,3) 엘리베이터를 이용하여 지하3층으로 이동
3,DX,D1,D10,1,1,출입구-승강장,4,,4) 승강장 이동
4,DX,D1,D10,2,1,출입구-승강장,1,,1) 1번 출입구 근처 엘리베이터 이동
5,DX,D1,D10,2,1,출입구-승강장,2,,2) 지하1층 판교방면 엘리베이터로 이동
6,DX,D1,D10,2,1,출입구-승강장,3,,3) 엘리베이터를 이용하여 지하3층으로 이동
7,DX,D1,D10,2,1,출입구-승강장,4,,4) 승강장 이동
,railOprIsttCd,lnCd,stinCd,mvPathMgNo,mvPathDvCd,mvPathDvNm,mvTpOrdr,mvDst,mvContDtl
0,DX,D1,D11,1,1,출입구-승강장,1,,1) 1번 출입구 근처 엘리베이터를 이용하여 지하 1층으로 이동
1,DX,D1,D11,1,1,출입구-승강장,2,,2) 개집표기를 통과하여 청계산입구 방면 엘리베이터로 이동
2,DX,D1,D11,1,1,출입구-승강장,3,,3) 엘리베이터를 이용하여 지하 2층으로 이동
3,DX,D1,D11,1,1,출입구-승강장,4,,4) 엘리베이터를 나와 승강장 이용
4,DX,D1,D11,2,1,출입구-승강장,1,,1) 1번 출입구 근처 엘리베이터를 이용하여 지하 1층으로 이동
5,DX,D1,D11,2,1,출입구-승강장,2,,2) 개집표기를 통과하여 미금 방면 엘리베이터로 이동
6,DX,D1,D11,2,1,출입구-승강장,3,,3) 엘리베이터를 이용하여 지하 2층으로 이동
7,DX,D1,D11,2,1,출입구-승강장,4,,4) 엘리베이터를 나와 승강장 이용
8,DX,D1,D11,3,1,출입구-승강장,1,,1) 3번 출입구 근처 엘리베이터를 이용하여 지하 1층으로 이동
9,DX,D1,D11,3,1,출입구-승강장,2,,2) 개집표기를 통과하여 청계산입구 방면 엘리베이터로 이동
10,DX,D1,D11,3,1,출입구-승강장,3,,3) 엘리베이터를 이용하여 지하 2층으로 이동
11,DX,D1,D11,3,1,출입구-승강장,4,,4) 엘리베이터를 나와 승강장 이용
12,DX,D1,D11,4,1,출입구-승강장,1,,1) 3번 출입구 근처 엘리베이터를 이용하여 지하 1층으로 이동
13,DX,D1,D11,4,1,출입구-승강장,2,,2) 개집표기를 통과하여 미금 방면 엘리베이터로 이동
14,DX,D1,D11,4,1,출입구-승강장,3,,3) 엘리베이터를 이용하여 지하 2층으로 이동
15,DX,D1,D11,4,1,출입구-승강장,4,,4) 엘리베이터를 나와 승강장 이용
16,DX,D1,D11,1,3,환승경로,1,,1) 승강장 하차후 환승통로 쪽으로 이동
17,DX,D1,D11,1,3,환승경로,2,,2) 환승개집표구 통과
18,DX,D1,D11,1,3,환승경로,3,,3) 환승통로 엘리베이터로 이동
19,DX,D1,D11,1,3,환승경로,4,,4) 엘리베이터 탑승 후 지하4층 경강선 승강장으로 이동
20,DX,D1,D11,1,3,환승경로,5,,5) 승강장 탑승
21,DX,D1,D11,2,3,환승경로,1,,1) 승강장 하차후 환승통로 쪽으로 이동
22,DX,D1,D11,2,3,환승경로,2,,2) 환승개집표구 통과
23,DX,D1,D11,2,3,환승경로,3,,3) 환승통로 엘리베이터로 이동
24,DX,D1,D11,2,3,환승경로,4,,4) 엘리베이터 탑승 후 지하4층 경강선 승강장으로 이동
25,DX,D1,D11,2,3,환승경로,5,,5) 승강장 탑승
,railOprIsttCd,lnCd,stinCd,mvPathMgNo,mvPathDvCd,mvPathDvNm,mvTpOrdr,mvDst,mvContDtl
0,DX,D1,D12,1,1,출입구-승강장,1,,1) 2번 출입구 근처 엘리베이터 이동
1,DX,D1,D12,1,1,출입구-승강장,2,,2) 지하1층  엘리베이터로 이동
2,DX,D1,D12,1,1,출입구-승강장,3,,3) 지하1층 승강장 로 이동
3,DX,D1,D12,1,1,출입구-승강장,4,,4) 수내방면 엘리베이터로 이동
4,DX,D1,D12,1,1,출입구-승강장,5,,5) 수내방면 엘리베이터를 이용하여 지하2층으로 이동
5,DX,D1,D12,1,1,출입구-승강장,6,,6) 개집표기를 지나 판교방면 우측엘리베이터로 이동
