,railOprIsttCd,lnCd,stinCd,mvPathMgNo,mvPathDvCd,mvPathDvNm,mvTpOrdr,mvDst,mvContDtl
48,AR,A1,A02,7,3,환승경로,1,,1) 홍대입구 방면 승강장 4번차량 근처 엘리베이터 지하 3층으로 이동
49,AR,A1,A02,7,3,환승경로,2,,2) 5호선/6호선 역사방향 환승게이트 통과하여 대합실 이동
50,AR,A1,A02,7,3,환승경로,3,,3) 5호선/6호선 환승통로로 이동
51,AR,A1,A02,7,3,환승경로,4,,4) 6호선 대흥방면 승강장 엘리베이터 이용하여 지하 2층 이동
52,AR,A1,A02,7,3,환승경로,5,,5) 대흥방면 승강장 이용
53,AR,A1,A02,8,3,환승경로,1,,1) 홍대입구 방면 승강장 4번차량 근처 엘리베이터 지하 3층으로 이동
54,AR,A1,A02,8,3,환승경로,2,,2) 5호선/6호선 역사방향 환승게이트 통과하여 대합실 이동
55,AR,A1,A02,8,3,환승경로,3,,3) 5호선/6호선 환승통로로 이동
56,AR,A1,A02,8,3,환승경로,4,,4) 6호선 효창공원앞 방면 승강장 엘리베이터 이용하여 지하 2층 이동
57,AR,A1,A02,8,3,환승경로,5,,5) 효창공원앞 방면 승강장 이용
58,AR,A1,A02,9,3,환승경로,1,,1) 서울역 방면 승강장 3번차량 근처 엘리베이터 지하 3층으로 이동
59,AR,A1,A02,9,3,환승경로,2,,2) 5호선/6호선 역사방향 환승게이트 통과하여 게이트 옆 서강대 방면 승강장 엘리베이터 이용
60,AR,A1,A02,9,3,환승경로,3,,3) 엘리베이터 이용하여 지하 2층 승강장 이동
61,AR,A1,A02,9,3,환승경로,4,,4) 서강대 방면 승강장 이용
62,AR,A1,A02,10,3,환승경로,1,,1) 서울역 방면 승강장 3번차량 근처 엘리베이터 지하 3층으로 이동
63,AR,A1,A02,10,3,환승경로,2,,2) 5호선/6호선 역사방향 환승게이트 통과하여 게이트 옆 효창공원 방면 승강장 엘리베이터 이용
64,AR,A1,A02,10,3,환승경로,3,,3) 엘리베이터 이용하여 지하 2층 승강장 이동
65,AR,A1,A02,10,3,환승경로,4,,4) 효창공원앞 방면 승강장 이용
66,AR,A1,A02,11,3,환승경로,1,,1) 홍대입구 방면 승강장 4번차량 근처 엘리베이터 지하 3층으로 이동
67,AR,A1,A02,11,3,환승경로,2,,2) 5호선/6호선 역사방향 환승게이트 통과하여 게이트 옆 서강대 방면 승강장 엘리베이터 이용
68,AR,A1,A02,11,3,환승경로,3,,3) 엘리베이터 이용하여 지하 2층 승강장 이동
69,AR,A1,A02,11,3,환승경로,4,,4) 서강대 방면 승강장 이용
70,AR,A1,A02,12,3,환승경로,1,,1) 홍대입구 방면 승강장 4번차량 근처 엘리베이터 지하 3층으로 이동
71,AR,A1,A02,12,3,환승경로,2,,2) 5호선/6호선 역사방향 환승게이트 통과하여 게이트 옆 효창공원 방면 승강장 엘리베이터 이용
72,AR,A1,A02,12,3,환승경로,3,,3) 엘리베이터 이용하여 지하 2층 승강장 이동
73,AR,A1,A02,12,3,환승경로,4,,4) 효창공원앞 방면 승강장 이용
,railOprIsttCd,lnCd,stinCd,mvPathMgNo,mvPathDvCd,mvPathDvNm,mvTpOrdr,mvDst,mvContDtl
0,AR,A1,A03,1,1,출입구-승강장,1,,1) 4번 출입구 근처 엘리베이터 이용 지하 2층으로 이동
1,AR,A1,A03,1,1,출입구-승강장,2,,2) 공항철도 환승통로 이동
2,AR,A1,A03,1,1,출입구-승강장,3,,3) 지하 2층 맞이방에서 서울역 방면 엘리베이터 이용
3,AR,A1,A03,1,1,출입구-승강장,4,,4) 공항철도 서울역 방면 승강장 이용
4,AR,A1,A03,1,1,출입구-승강장,5,,5) 지하 3층으로 이동
5,AR,A1,A03,2,1,출입구-승강장,1,,1) 4번 출입구 근처 엘리베이터 이용 지하 2층으로 이동
6,AR,A1,A03,2,1,출입구-승강장,2,,2) 공항철도 환승통로 이동
7,AR,A1,A03,2,1,출입구-승강장,3,,3) 지하 2층 맞이방에서 디지털미디어시티 방면 엘리베이터 이용
8,AR,A1,A03,2,1,출입구-승강장,4,,4) 지하 3층으로 이동
9,AR,A1,A03,2,1,출입구-승강장,5,,5) 공항철도 디지털미디어시티 방면 승강장 이용
10,AR,A1,A03,3,1,출입구-승강장,1,,1) 7번 출입구 근처 엘리베이터 이용 지하 2층으로 이동
11,AR,A1,A03,3,1,출입구-승강장,2,,2) 공항철도 환승통로 이동
12,AR,A1,A03,3,1,출입구-승강장,3,,3) 지하 2층 맞이방에서 서울역 방면 엘리베이터 이용
13,AR,A1,A03,3,1,출입구-승강장,4,,4) 지하 3층으로 이동
