역명,호선,문화공간,휠체어리프트,만남의장소,환승주차장,자전거보관소,엘리베이터,기차예매역,무인민원발급기,환전키오스크,수유실,충전기운영수량
오금,3,N,N,N,N,N,Y,N,Y,N,N,0.0
당고개,4,N,N,N,Y,Y,Y,N,N,N,N,0.0
상계,4,N,N,N,N,Y,Y,N,N,N,N,0.0
노원,4,N,N,Y,N,Y,Y,N,N,N,Y,0.0
창동,4,N,Y,N,Y,Y,Y,N,Y,N,N,1.0
쌍문,4,N,N,Y,N,Y,Y,N,Y,N,N,1.0
수유,4,N,N,Y,N,Y,Y,N,Y,N,N,2.0
미아,4,N,N,Y,N,Y,Y,N,Y,N,N,0.0
미아사거리,4,Y,N,Y,N,Y,Y,N,Y,N,Y,2.0
길음,4,N,N,Y,Y,Y,Y,N,N,N,Y,0.0
성신여대입구,4,N,N,N,N,Y,Y,N,N,N,N,0.0
한성대입구,4,N,N,Y,N,N,Y,N,N,N,N,1.0
혜화,4,Y,N,Y,N,Y,Y,N,Y,N,N,1.0
동대문,4,N,Y,N,N,N,Y,N,N,N,N,1.0
동대문역사문화공원,4,Y,N,N,N,N,Y,N,N,N,Y,1.0
충무로,4,N,Y,Y,N,N,Y,N,N,N,N,1.0
명동,4,N,Y,Y,N,N,Y,N,N,N,N,0.0
회현,4,N,N,N,N,N,Y,N,N,N,N,0.0
서울,4,N,Y,N,N,N,Y,N,N,N,Y,2.0
숙대입구,4,N,N,Y,N,N,Y,N,N,N,N,2.0
삼각지,4,N,N,Y,N,N,Y,N,N,N,N,2.0
신용산,4,N,N,Y,N,N,Y,N,N,N,N,0.0
이촌,4,N,Y,Y,N,N,Y,N,N,N,Y,0.0
동작,4,N,N,Y,Y,Y,Y,N,N,N,N,1.0
총신대입구,4,N,N,Y,N,N,Y,N,N,N,N,1.0
사당,4,N,Y,N,N,N,Y,N,N,N,Y,2.0
남태령,4,N,N,N,N,N,Y,N,N,N,N,0.0
방화,5,N,N,N,Y,Y,Y,N,N,N,N,2.0
개화산,5,N,N,Y,Y,Y,Y,N,N,N,N,2.0
김포공항,5,N,N,N,N,N,Y,N,N,Y,Y,2.0
송정,5,N,N,Y,N,Y,Y,N,N,N,N,0.0
마곡,5,N,N,N,N,Y,Y,N,N,N,N,0.0
발산,5,N,N,Y,N,Y,Y,N,N,N,N,0.0
우장산,5,N,N,N,N,Y,Y,N,N,N,Y,0.0
화곡,5,N,N,Y,N,Y,Y,N,Y,N,N,0.0
까치산,5,N,Y,N,N,Y,Y,N,Y,N,Y,0.0
신정,5,N,N,Y,N,Y,Y,N,N,N,N,0.0
목동,5,N,N,Y,N,Y,Y,N,Y,N,Y,0.0
오목교,5,Y,N,N,Y,Y,Y,N,Y,N,N,0.0
양평,5,N,N,N,N,Y,Y,N,N,N,N,0.0
영등포구청,5,N,Y,N,Y,Y,Y,N,N,N,Y,0.0
영등포시장,5,N,N,N,N,Y,Y,N,N,N,N,0.0
신길,5,N,N,Y,Y,Y,Y,N,N,N,Y,0.0
여의도,5,N,N,Y,N,Y,Y,N,Y,N,Y,0.0
여의나루,5,N,N,N,N,Y,Y,N,N,N,Y,0.0
마포,5,N,N,N,N,Y,Y,N,N,N,N,0.0
공덕,5,N,Y,Y,N,Y,Y,N,Y,N,Y,1.0
애오개,5,N,N,N,N,Y,Y,N,N,N,N,1.0
충정로,5,N,N,Y,N,Y,Y,N,N,N,Y,2.0
서대문,5,N,Y,N,N,Y,Y,N,N,N,N,1.0
광화문,5,Y,Y,Y,N,Y,Y,N,N,Y,Y,1.0
종로3가,5,N,Y,Y,N,Y,Y,N,N,N,N,0.0
을지로4가,5,N,N,N,N,N,Y,N,N,N,N,0.0
동대문역사문화공원,5,Y,Y,N,N,N,Y,N,N,N,Y,0.0
청구,5,N,N,Y,N,Y,Y,N,N,N,Y,0.0
신금호,5,N,N,Y,N,Y,Y,N,N,N,N,1.0
행당,5,N,N,Y,N,Y,Y,N,N,N,N,0.0
왕십리,5,Y,N,Y,N,Y,Y,N,N,N,Y,1.0
마장,5,N,N,Y,N,Y,Y,N,N,N,N,1.0
답십리,5,N,Y,Y,N,Y,Y,N,N,N,Y,2.0
장한평,5,N,Y,Y,N,Y,Y,N,N,N,N,2.0
군자,5,N,N,Y,N,Y,Y,N,Y,N,Y,2.0
아차산,5,N,N,Y,N,Y,Y,N,Y,N,Y,1.0
광나루,5,N,Y,Y,N,Y,Y,N,N,N,N,1.0
천호,5,N,Y,Y,Y,Y,Y,N,Y,N,Y,0.0
